Reference,Books,Chapter,Verses
Bible,Joshua,1,18
Bible,Joshua,2,24
Bible,Joshua,3,17
Bible,Joshua,4,24
Bible,Joshua,5,15
Bible,Joshua,6,27
Bible,Joshua,7,26
Bible,Joshua,8,35
Bible,Joshua,9,27
Bible,Joshua,10,43
Bible,Joshua,11,23
Bible,Joshua,12,24
Bible,Joshua,13,33
Bible,Joshua,14,15
Bible,Joshua,15,63
Bible,Joshua,16,10
Bible,Joshua,17,18
Bible,Joshua,18,28
Bible,Joshua,19,51
Bible,Joshua,20,9
Bible,Joshua,21,45
Bible,Joshua,22,34
Bible,Joshua,23,16
Bible,Joshua,24,33
Bible,Judges,1,36
Bible,Judges,2,23
Bible,Judges,3,31
Bible,Judges,4,24
Bible,Judges,5,31
Bible,Judges,6,40
Bible,Judges,7,25
Bible,Judges,8,35
Bible,Judges,9,57
Bible,Judges,10,18
Bible,Judges,11,40
Bible,Judges,12,15
Bible,Judges,13,25
Bible,Judges,14,20
Bible,Judges,15,20
Bible,Judges,16,31
Bible,Judges,17,13
Bible,Judges,18,31
Bible,Judges,19,30
Bible,Judges,20,48
Bible,Judges,21,25
Bible,I Samuel,1,28
Bible,I Samuel,2,36
Bible,I Samuel,3,21
Bible,I Samuel,4,22
Bible,I Samuel,5,12
Bible,I Samuel,6,21
Bible,I Samuel,7,17
Bible,I Samuel,8,22
Bible,I Samuel,9,27
Bible,I Samuel,10,27
Bible,I Samuel,11,15
Bible,I Samuel,12,25
Bible,I Samuel,13,23
Bible,I Samuel,14,52
Bible,I Samuel,15,35
Bible,I Samuel,16,23
Bible,I Samuel,17,58
Bible,I Samuel,18,30
Bible,I Samuel,19,24
Bible,I Samuel,20,42
Bible,I Samuel,21,16
Bible,I Samuel,22,23
Bible,I Samuel,23,28
Bible,I Samuel,24,23
Bible,I Samuel,25,44
Bible,I Samuel,26,25
Bible,I Samuel,27,12
Bible,I Samuel,28,25
Bible,I Samuel,29,11
Bible,I Samuel,30,31
Bible,I Samuel,31,13
Bible,II Samuel,1,27
Bible,II Samuel,2,32
Bible,II Samuel,3,39
Bible,II Samuel,4,12
Bible,II Samuel,5,25
Bible,II Samuel,6,23
Bible,II Samuel,7,29
Bible,II Samuel,8,18
Bible,II Samuel,9,13
Bible,II Samuel,10,19
Bible,II Samuel,11,27
Bible,II Samuel,12,31
Bible,II Samuel,13,39
Bible,II Samuel,14,33
Bible,II Samuel,15,37
Bible,II Samuel,16,23
Bible,II Samuel,17,29
Bible,II Samuel,18,32
Bible,II Samuel,19,44
Bible,II Samuel,20,26
Bible,II Samuel,21,22
Bible,II Samuel,22,51
Bible,II Samuel,23,39
Bible,II Samuel,24,25
Bible,I Kings,1,53
Bible,I Kings,2,46
Bible,I Kings,3,28
Bible,I Kings,4,20
Bible,I Kings,5,32
Bible,I Kings,6,38
Bible,I Kings,7,51
Bible,I Kings,8,66
Bible,I Kings,9,28
Bible,I Kings,10,29
Bible,I Kings,11,43
Bible,I Kings,12,33
Bible,I Kings,13,34
Bible,I Kings,14,31
Bible,I Kings,15,34
Bible,I Kings,16,34
Bible,I Kings,17,24
Bible,I Kings,18,46
Bible,I Kings,19,21
Bible,I Kings,20,43
Bible,I Kings,21,29
Bible,I Kings,22,54
Bible,II Kings,1,18
Bible,II Kings,2,25
Bible,II Kings,3,27
Bible,II Kings,4,44
Bible,II Kings,5,27
Bible,II Kings,6,33
Bible,II Kings,7,20
Bible,II Kings,8,29
Bible,II Kings,9,37
Bible,II Kings,10,36
Bible,II Kings,11,20
Bible,II Kings,12,22
Bible,II Kings,13,25
Bible,II Kings,14,29
Bible,II Kings,15,38
Bible,II Kings,16,20
Bible,II Kings,17,41
